code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
SH.600871,石化油服,100,STOCK,N/A,,N/A,,N/A,N/A,1995-04-11,1600871,False,N/A,False,,CN_SH
SH.600872,中炬高新,100,STOCK,N/A,,N/A,,N/A,N/A,1995-01-24,39311837261160,False,N/A,False,,CN_SH
SH.600873,梅花生物,100,STOCK,N/A,,N/A,,N/A,N/A,1995-02-17,39414916476265,False,N/A,False,,CN_SH
SH.600874,创业环保,100,STOCK,N/A,,N/A,,N/A,N/A,1995-06-30,1600874,False,N/A,False,,CN_SH
SH.600875,东方电气,100,STOCK,N/A,,N/A,,N/A,N/A,1995-10-10,59373629500779,False,N/A,False,,CN_SH
SH.600876,洛阳玻璃,100,STOCK,N/A,,N/A,,N/A,N/A,1995-10-31,1600876,False,N/A,False,,CN_SH
SH.600877,声光电科,100,STOCK,N/A,,N/A,,N/A,N/A,1995-10-13,40437118692717,False,N/A,False,,CN_SH
SH.600879,航天电子,100,STOCK,N/A,,N/A,,N/A,N/A,1995-11-15,40578852613487,False,N/A,False,,CN_SH
SH.600880,博瑞传播,100,STOCK,N/A,,N/A,,N/A,N/A,1995-11-15,40578852613488,False,N/A,False,,CN_SH
SH.600881,亚泰集团,100,STOCK,N/A,,N/A,,N/A,N/A,1995-11-15,40578852613489,False,N/A,False,,CN_SH
SH.600882,妙可蓝多,100,STOCK,N/A,,N/A,,N/A,N/A,1995-12-06,40669046926706,False,N/A,False,,CN_SH
SH.600883,博闻科技,100,STOCK,N/A,,N/A,,N/A,N/A,1995-12-08,40677636861299,False,N/A,False,,CN_SH
SH.600884,杉杉股份,100,STOCK,N/A,,N/A,,N/A,N/A,1996-01-30,40905270127988,False,N/A,False,,CN_SH
SH.600885,宏发股份,100,STOCK,N/A,,N/A,,N/A,N/A,1996-02-05,40931039931765,False,N/A,False,,CN_SH
SH.600886,国投电力,100,STOCK,N/A,,N/A,,N/A,N/A,1996-01-18,40853730520438,False,N/A,False,,CN_SH
SH.600887,伊利股份,100,STOCK,N/A,,N/A,,N/A,N/A,1996-03-12,41085658754423,False,N/A,False,,CN_SH
SH.600888,新疆众和,100,STOCK,N/A,,N/A,,N/A,N/A,1996-02-15,40973989604728,False,N/A,False,,CN_SH
SH.600889,南京化纤,100,STOCK,N/A,,N/A,,N/A,N/A,1996-03-08,41068478885241,False,N/A,False,,CN_SH
SH.600892,大晟文化,100,STOCK,N/A,,N/A,,N/A,N/A,1996-03-15,41098543656316,False,N/A,False,,CN_SH
SH.600893,航发动力,100,STOCK,N/A,,N/A,,N/A,N/A,1996-04-08,41201622871421,False,N/A,False,,CN_SH
SH.600894,广日股份,100,STOCK,N/A,,N/A,,N/A,N/A,1996-03-28,41154378231166,False,N/A,False,,CN_SH
SH.600895,张江高科,100,STOCK,N/A,,N/A,,N/A,N/A,1996-04-22,41261752413567,False,N/A,False,,CN_SH
SH.600897,厦门空港,100,STOCK,N/A,,N/A,,N/A,N/A,1996-05-31,41429256138113,False,N/A,False,,CN_SH
SH.600898,国美通讯,100,STOCK,N/A,,N/A,,N/A,N/A,1996-04-18,41244572544386,False,N/A,False,,CN_SH
