code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
SZ.000063,中兴通讯,100,STOCK,N/A,,N/A,,N/A,N/A,1997-11-18,43731359007935,False,N/A,False,,CN_SZ
SZ.000065,北方国际,100,STOCK,N/A,,N/A,,N/A,N/A,1998-06-05,44586057499841,False,N/A,False,,CN_SZ
SZ.000066,中国长城,100,STOCK,N/A,,N/A,,N/A,N/A,1997-06-26,43108588750018,False,N/A,False,,CN_SZ
SZ.000068,华控赛格,100,STOCK,N/A,,N/A,,N/A,N/A,1997-06-11,43044164240580,False,N/A,False,,CN_SZ
SZ.000069,华侨城A,100,STOCK,N/A,,N/A,,N/A,N/A,1997-09-10,43435006264517,False,N/A,False,,CN_SZ
SZ.000070,特发信息,100,STOCK,N/A,,N/A,,N/A,N/A,2000-05-11,47618304410822,False,N/A,False,,CN_SZ
SZ.000078,海王生物,100,STOCK,N/A,,N/A,,N/A,N/A,1998-12-18,45427871089870,False,N/A,False,,CN_SZ
SZ.000088,盐田港,100,STOCK,N/A,,N/A,,N/A,N/A,1997-07-28,43246027703512,False,N/A,False,,CN_SZ
SZ.000089,深圳机场,100,STOCK,N/A,,N/A,,N/A,N/A,1998-04-20,44388489004249,False,N/A,False,,CN_SZ
SZ.000090,天健集团,100,STOCK,N/A,,N/A,,N/A,N/A,1999-07-21,46351289058522,False,N/A,False,,CN_SZ
SZ.000096,广聚能源,100,STOCK,N/A,,N/A,,N/A,N/A,2000-07-24,47936131990752,False,N/A,False,,CN_SZ
SZ.000099,中信海直,100,STOCK,N/A,,N/A,,N/A,N/A,2000-07-31,47966196761827,False,N/A,False,,CN_SZ
SZ.000100,TCL科技,100,STOCK,N/A,,N/A,,N/A,N/A,2004-01-30,53455164966116,False,N/A,False,,CN_SZ
SZ.000150,*ST宜康,100,STOCK,N/A,,N/A,,N/A,N/A,2000-08-07,47996261532950,False,N/A,False,,CN_SZ
SZ.000151,中成股份,100,STOCK,N/A,,N/A,,N/A,N/A,2000-09-06,48125110551831,False,N/A,False,,CN_SZ
SZ.000153,丰原药业,100,STOCK,N/A,,N/A,,N/A,N/A,2000-09-20,48185240093977,False,N/A,False,,CN_SZ
SZ.000155,川能动力,100,STOCK,N/A,,N/A,,N/A,N/A,2000-09-26,48211009897755,False,N/A,False,,CN_SZ
SZ.000156,华数传媒,100,STOCK,N/A,,N/A,,N/A,N/A,2000-09-06,48125110551836,False,N/A,False,,CN_SZ
SZ.000157,中联重科,100,STOCK,N/A,,N/A,,N/A,N/A,2000-10-12,48279729374493,False,N/A,False,,CN_SZ
SZ.000158,常山北明,100,STOCK,N/A,,N/A,,N/A,N/A,2000-07-24,47936131990814,False,N/A,False,,CN_SZ
SZ.000159,国际实业,100,STOCK,N/A,,N/A,,N/A,N/A,2000-09-26,48211009897759,False,N/A,False,,CN_SZ
SZ.000166,申万宏源,100,STOCK,N/A,,N/A,,N/A,N/A,2015-01-26,70695163692326,False,N/A,False,,CN_SZ
SZ.000301,东方盛虹,100,STOCK,N/A,,N/A,,N/A,N/A,2000-05-29,47695613822381,False,N/A,False,,CN_SZ
